DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4634584;2;2;2;70;05;12;48;1; ;2;12;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781300;2; ;58;58;70;1;1;7020;06;05;1578,18393909895
4634589;1;5;1;70;05;12;48;1; ;2;24;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;52;1;1;5233;06;05;1089,96835465666
4634597;1;1;1;70;05;20;48;1; ;2;27;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;58;97;75;1;2;7512;06;05;1182,26789886433
4634599;1;1;1;70;05;12;48;4; ;2;12;4; ;1;2;6; ; ; ; ; ; ; ; ; ; ;1;1;150000;800000;2; ;93;93;50;1;1;5020;06;05;1186,10085224936
4634607;1;3;1;70;05;32;48;1; ;2;32;1; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;33;44;80;1;2;8060;06;05;1114,93627374126
4634608;1;3;1;70;05;8;48;1; ;2;8;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781300;2; ;34;34;74;1;1;7499;06;05;1080,99718704117
4634608;1;5;1;70;05;20;48;2; ;2;20;1; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781300;2; ;59;54;85;1;2;8532;06;05;1080,99718704117
4634612;1;3;1;70;05;32;48;1; ;2;32;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781000;2; ;39;97;15;1;2;1551;06;05;1084,89537435122
4634618;1;2;1;70;05;20;48;1; ;2;20;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;39;53;55;1;2;5529;06;05;1172,74738660748
4634619;1;2;1;70;05;12;24;1; ;2;40;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;55;54;95;1;1;9500;06;05;1506,82187265052
4634622;1;3;1;70;05;40;48;1; ;2;40;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;90;79;18;1;2;1810;06;05;1514,53813878319
4634629;1;1;1;70;05;12;48;1; ;2;52;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;95;95;45;1;1;4521;06;05;1107,22000760859
4634629;1;2;1;70;05;4;48;1; ;2;4;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;781242;2; ;79;79;18;1;1;1810;06;05;1107,22000760859
4634629;1;3;1;70;05;4;48;1; ;2;8;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;95;95;45;1;1;4521;06;05;1107,22000760859
4634633;1;3;1;70;05;24;48;1; ;2;24;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;87;87;29;1;2;2919;06;05;1101,58280809938
4634635;1;1;1;70;05;4;48;1; ;2;4;1; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;1;230000;781242;2; ;45;40;52;1;1;5239;06;05;1506,82187265052
4634635;1;4;1;70;05;12;48;1; ;2;12;1; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;19;1;1;1939;06;05;1506,82187265052
4634649;1;1;1;70;05;6;40;1; ;2;6;1; ;6;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;1100000;2; ;33;33;29;1;1;2924;06;05;1150,97209799146
4634704;1;3;1;70;13;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;58; ; ;1;1; ;06;13;414,716940235708
4634791;1;2;1;70;17;1;6;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;45; ; ;1;1; ;06;17;230,272759187129
4634793;1;2;1;70;17;36;48;1; ;2;36;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;52;1;2;5219;06;17;180,552228564344
4634793;1;3;1;70;17;12;48;1; ;2;12;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;38;93;45;1;1;4552;06;17;180,552228564344
4634826;1;4;1;70;17;14;48;1; ;2;14;1; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;38;45;15;1;2;1551;06;17;150,661675644182
4634837;1;2;1;70;17;4;48;1; ;2;6;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;45;61;01;1;1;0116;06;17;188,222670597937
4634849;1;2;1;70;17;52;48;1; ;2;52;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;98;98;60;1;2;6021;06;17;186,807137352255
4634859;1;2;1;70;17;4;48;1; ;2;4;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;1;781242;781242;2; ;59;59;85;1;1;8513;06;17;140,424257900011
4634865;1;3;1;70;17;24;48;1; ;2;24;1; ;4;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;1500000;1;1;02;02;74;1;2;7414;06;17;218,649903582919
4634869;1;5;1;70;17;24;48;3; ;2;24;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;54;54;95;1;2;9500;06;17;193,652307541011
4634878;1;1;1;70;17;36;48;1; ;2;37;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;781242;1;2;45;44;75;1;2;7530;06;17;116,463234397003
4634886;1;3;1;70;17;24;48;1; ;2;24;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;781242;1;2;45;55;74;1;2;7493;06;17;207,067346470105
4634887;1;3;1;70;17;8;48;1; ;2;500;1; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;55;54;95;1;1;9500;06;17;363,98277461986
4634891;1;2;1;70;17;48;48;1; ;2;48;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;13;13;80;1;2;8041;06;17;122,392763814157
4634891;1;4;1;70;17;4;48;1; ;2;4;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;55;41;55;1;1;5529;06;17;122,392763814157
4634899;1;3;1;70;17;24;48;1; ;2;12;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;34;39;85;1;2;8512;06;17;198,460088342109
4634900;1;4;1;70;17;1;48;1; ;2;2;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;2000000;1000000;2; ;84;39;90;1;1;9000;06;17;223,964269063192
4634907;1;1;1;70;17;30;48;1; ;2;35;3; ;2;2;2; ; ; ;1; ; ; ; ; ; ; ;2; ;900000;1;4;98;98;95;1;2;9500;06;17;181,563165749022
4634974;1;1;1;70;23;3;49;4; ;2;3;5; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;750000;700000;2; ;95;95;45;1;1;4521;06;23;156,281218777316
4634979;1;3;1;70;23;4;48;1; ;2;21;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;59;59;93;1;1;9303;06;23;205,514981226294
4634989;1;6;1;70;23;4;48;1; ;2;5;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;100000;500000;2; ;95;95;45;1;1;4521;06;23;124,096084797456
4634992;1;3;1;70;23;3;48;1; ;2;5;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;59;59;85;1;1;8511;06;23;100,799650660106
4634993;1;4;1;70;23;11;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;600000; ; ;45; ; ;1;1; ;06;23;207,966335709112
4634999;1;5;1;70;23;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;900000; ; ;59; ; ;1;1; ;06;23;132,739236965634
4635103;1;3;1;70;50;52;48;4; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;98;98;64;1;2;6421;06;50;165,916393004536
4635104;1;2;1;70;50;32;48;4; ;2;32;1; ;8;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;800000;2; ;98;98;60;1;2;6021;06;50;193,027164512619
4635107;1;2;1;70;50;24;48;1; ;2;8;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;450000;900000;2; ;32;53;55;1;2;5521;06;50;340,558634508415
4635114;1;2;1;70;50;4;48;1; ;2;24;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;12;45;52;1;1;5233;06;50;261,843596142608
4635119;1;2;1;70;50;4;48;1; ;2;300;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2500000;2; ;08;08;74;1;1;7411;06;50;304,861210032747
4635121;1;2;1;70;50;56;48;1; ;2;56;1; ;3;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;800000;2; ;45;45;52;1;2;5235;06;50;197,401095383266
4635139;1;2;1;70;50;2;48;1; ;2;2;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;1;782000;950000;2; ;99;99;50;1;1;5020;06;50;161,755754959676
4635140;1;2;1;70;50;2;48;1; ;2;8;1; ;9;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;1500000;2; ;02;02;45;1;1;4530;06;50;260,405068455019
4635141;1;1;1;70;50;12;48;1; ;2;18;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;58;58;70;1;1;7020;06;50;244,020925930813
4635151;1;2;1;70;50;24;48;1; ;2;24;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;39;39;64;1;2;6425;06;50;243,076675284278
4635162;1;3;1;70;50;5;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;750000;950000;2; ;45;45;51;1;1;5125;06;50;234,724157674286
4635167;1;1;1;70;50;104;48;8; ;2;3;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;98;800000;2; ;62;62;01;1;2;0118;06;50;291,582136703173
4635168;1;1;1;70;50;26;30;1; ;2;26;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;39;95;45;1;2;4521;06;50;264,841938738509
4635177;1;1;1;70;50;24;48;1; ;2;32;1; ;5;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2500000;2; ;13;13;80;1;2;8011;06;50;294,111340394163
4635189;1;1;1;70;50;8;35;2; ;2;8;2; ;9;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;3000000;2; ;13;13;80;1;1;8043;06;50;260,405068455019
4635190;1;1;1;70;50;25;40;1; ;2;25;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;13;13;80;1;2;8050;06;50;229,694950711249
4635191;1;1;1;70;50;9;40;1; ;2;12;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;98;98;60;1;1;6042;06;50;246,012078467336
4635195;1;2;1;70;50;56;48;1; ;2;56;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;787000;2; ;53;53;55;1;2;5521;06;50;251,434103089053
4635196;1;1;1;70;50;52;48;4; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;98;98;60;1;2;6042;06;50;299,5321731548
4635198;1;7;1;70;50;12;48;1; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;45;45;52;1;1;5231;06;50;162,100206899981
4635199;1;1;1;70;50;26;48;4; ;2;8;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;83;83;28;1;2;2811;06;50;261,843596142608
4635199;1;2;1;70;50;26;40;3; ;2;104;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;54;56;93;1;2;9301;06;50;261,843596142608
4635219;1;2;1;70;50;20;48;1; ;2;52;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2500000;2; ;19;45;01;1;2;0123;06;50;226,198255719017
4635233;1;2;1;70;50;4;48;1; ;2;6;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;39;39;64;1;1;6421;06;50;241,638147596689
4635235;1;2;1;70;50;12;48;1; ;2;12;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;39;97;15;1;1;1511;06;50;221,82432484837
4635245;1;1;1;70;52;8;48;1; ;2;12;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;05;39;74;1;1;7414;06;52;212,062978723258
4635248;1;2;1;70;52;4;20;1; ;2;156;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;33;61;01;1;1;0111;06;52;252,175371333327
4635253;1;6;1;70;52;4;28;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;400000; ; ;45; ; ;1;1; ;06;52;271,4724339763
4635257;1;1;1;70;52;8;48;1; ;2;8;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;300000;781242;2; ;83;83;28;1;1;2811;06;52;286,366708042602
4635278;1;2;1;70;54;24;48;4; ;2;24;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;41;41;52;1;2;5233;06;54;445,794697433564
4635283;1;3;1;70;54;20;48;1; ;2;30;3; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;21;98;95;1;2;9500;06;54;425,91885269674
4635290;1;2;1;70;54;4;48;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;33; ; ;1;1; ;06;54;438,873576799234
4635293;1;2;1;70;54;4;50;4; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;79;79;18;1;1;1810;06;54;624,931328409543
4635299;1;1;1;70;54;48;30;4; ;2;50;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;79;57;93;1;2;9302;06;54;454,99550545706
4635299;1;2;1;70;54;3;50;1; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;781242;2; ;55;45;92;1;1;9242;06;54;454,99550545706
4635303;1;1;1;70;54;35;48;3; ;2;300;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;54;41;51;1;2;5125;06;54;358,676857176996
4635456;1;2;1;70;66;3;48;1; ;2;3;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1000000;781242;2; ;95;95;45;1;1;4530;06;66;345,829603920863
4635458;1;1;1;70;66;4;48;3; ;2;12;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;54;54;95;1;1;9500;06;66;386,548733588042
4635466;1;2;1;70;66;26;48;1; ;2;26;1; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;95;95;15;1;2;1551;06;66;313,783344374082
4635482;1;1;1;70;66;24;48;1; ;2;24;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781500;2; ;45;45;52;1;2;5231;06;66;399,101225218417
4635493;1;3;1;70;66;4;48;1; ;2;4;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;1;900000;781242;2; ;34;32;75;1;1;7523;06;66;295,803407393434
4635507;1;4;1;70;66;2;48;1; ;2;2;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1800000;900000;2; ;32;39;75;1;1;7512;06;66;316,046960573795
4635525;1;3;1;70;66;21;48;1; ;2;21;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;52;1;2;5239;06;66;298,179759053691
4635533;1;1;1;70;66;28;48;1; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;52;1;2;5211;06;66;380,880311713916
4635542;1;3;1;70;66;17;48;1; ;2;17;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;32;32;85;1;2;8512;06;66;273,213145227333
4635547;1;2;1;70;66;57;48;1; ;2;104;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781500;2; ;45;45;52;1;2;5235;06;66;394,183833492311
4635562;1;2;1;70;66;52;24;1; ;2;96;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;59;31;75;1;2;7512;06;66;399,101225218417
4635565;1;3;1;70;66;20;48;1; ;2;20;1; ;4;1;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;53;53;55;1;2;5521;06;66;358,382095551238
4635568;1;2;1;70;66;20;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;45; ; ;1;2; ;06;66;401,949331824919
4635580;1;2;1;70;68;20;48;1; ;2;24;1; ;9;1;1; ; ;1; ; ; ; ; ; ; ; ;2; ;1300000;1;1;19;19;85;1;2;8512;06;68;468,420926714369
4635586;1;3;1;70;68;4;40;1; ;2;4;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;1;200000;781200;2; ;39;53;55;1;1;5521;06;68;391,982574720543
4635593;1;3;1;70;68;8;48;1; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;45;45;55;1;1;5530;06;68;423,802536484296
4635602;1;2;1;70;68;20;48;1; ;2;20;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1300000;2; ;45;44;65;1;2;6512;06;68;527,633382558576
4635610;1;4;1;70;68;24;48;1; ;2;24;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;59;59;85;1;2;8513;06;68;522,023711075895
4635623;1;1;1;70;68;20;48;4; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;54;41;52;1;2;5233;06;68;493,628173358512
4635652;1;1;1;70;73;8;48;1; ;2;8;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;95;95;45;1;1;4521;06;73;325,336101752125
4635652;1;3;1;70;73;8;48;4; ;2;8;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;55;99;55;1;1;5521;06;73;325,336101752125
4635664;1;4;1;70;73;8;48;1; ;2;12;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;52;1;1;5225;06;73;284,427342950842
4635675;1;2;1;70;73;52;48;1; ;2;99;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;33;45;15;1;2;1551;06;73;452,703318198768
4635677;1;1;1;70;76;3;66;4; ;2;3;4; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;1;250000;781242;2; ;97;97;74;1;1;7495;06;76;1389,70710865278
4635677;1;2;1;70;76;4;48;1; ;2;3;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;1;45000;781242;2; ;98;98;60;1;1;6041;06;76;1389,70710865278
4635677;1;3;1;70;76;20;42;1; ;2;20;4; ;6;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;45;97;74;1;2;7495;06;76;1389,70710865278
4635689;1;3;1;70;76;12;48;1; ;2;17;1; ;3;2;4; ; ; ; ; ; ; ; ;1;RECIBE UNA RENTA; ;2; ;1000000;2; ;33;33;52;1;1;5211;06;76;811,95692457517
4635693;1;2;1;70;76;10;30;1; ;2;8;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;54;54;85;1;1;8532;06;76;1434,72829480212
4635697;1;2;1;70;76;4;48;1; ;2;104;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;53;38;64;1;1;6422;06;76;1071,46977004311
4635702;1;3;1;70;76;28;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;45; ; ;1;2; ;06;76;1216,79915275995
4635703;1;3;1;70;76;70;48;1; ;2;25;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;33;33;18;1;2;1810;06;76;1137,52884314339
4635703;1;4;1;70;76;20;30;1; ;2;16;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;33;55;1;2;5521;06;76;1137,52884314339
4635710;3;2;3;70;76;9;48;1; ;2;9;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;33;33;85;1;1;8512;06;76;979,248327053304
4635718;1;1;1;70;76;60;58;4; ;2;200;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;53;55;1;2;5529;06;76;901,849430409004
4635733;1;2;1;70;76;4;48;1; ;2;2;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;1;60000;781242;2; ;77;77;15;1;1;1551;06;76;1254,89889800504
4635740;1;1;1;70;76;26;42;4; ;2;26;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;57;57;93;1;2;9302;06;76;996,787807182615
4635764;1;3;1;70;76;25;48;1; ;2;2;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;97;85;52;1;2;5235;06;76;1214,35602288595
4636156;1;1;1;70;05;8;48;1; ;2;10;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;58;45;15;1;1;1551;06;05;1075,92420673572
4636162;1;2;1;70;05;4;48;1; ;2;4;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;1;781242;800000;2; ;95;95;45;1;1;4521;06;05;1341,81431702155
4636162;1;3;1;70;05;12;24;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;500000; ; ;45; ; ;1;1; ;06;05;1341,81431702155
4636162;1;4;1;70;05;4;24;1; ;2;20;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;57;92;22;1;1;2220;06;05;1341,81431702155
4636166;1;3;1;70;05;12;48;1; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;55;53;55;1;1;5529;06;05;1512,10325546316
4636166;1;4;1;70;05;8;48;1; ;2;10;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;16;16;17;1;1;1730;06;05;1512,10325546316
4636168;1;2;1;70;05;3;48;1; ;2;6;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781000;2; ;62;62;70;1;1;7020;06;05;934,849951202355
4636169;1;3;1;70;05;3;48;1; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;780000;1000000;2; ;98;98;60;1;1;6022;06;05;1191,23906647983
4636178;1;3;1;70;05;5;48;1; ;2;190;1; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;15;1;1;1551;06;05;785,78183310856
4636180;1;1;1;70;05;4;48;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;53;53;55;1;1;5521;06;05;1096,99789850582
4636181;1;2;1;70;05;2;48;1; ;2;4;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;1;900000;1000000;2; ;45;45;92;1;1;9242;06;05;1509,39992455272
4636182;1;1;1;70;05;12;48;1; ;2;98;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;55;55;85;1;1;8511;06;05;1665,3492290717
4636190;1;2;1;70;05;52;48;1; ;2;24;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;39;45;51;1;2;5127;06;05;1206,13596503491
4636193;1;6;1;70;05;104;48;1; ;2;104;1; ;7;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;98;39;18;1;2;1810;06;05;970,029064822865
4636195;1;2;1;70;05;2;20;4; ;2;2;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;70000;300000;2; ;79;79;52;1;1;5271;06;05;1084,89537435122
4636204;1;8;1;70;05;12;48;1; ;2;12;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;95;95;45;1;1;4521;06;05;1352,87826219161
4636205;1;1;1;70;05;104;48;1; ;2;750;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;15;15;45;1;2;4530;06;05;1231,10784411506
4636209;1;4;1;70;05;5;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;97; ; ;1;1; ;06;05;1482,86905530642
4636209;1;10;1;70;05;5;48;1; ;2;12;1; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;77;77;15;1;1;1551;06;05;1482,86905530642
4636209;1;11;1;70;05;5;48;1; ;2;15;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;77;45;52;1;1;5262;06;05;1482,86905530642
4636214;1;2;1;70;05;9;48;1; ;2;9;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;4000000;2; ;45;45;51;1;1;5139;06;05;1038,63744099824
4636215;1;2;1;70;05;28;48;1; ;2;204;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;55;53;55;1;2;5521;06;05;1585,70271729129
4636224;1;3;1;70;05;24;48;1; ;2;24;1; ;7;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;19;19;74;1;2;7499;06;05;1172,74738660748
4636235;1;2;1;70;05;5;48;1; ;2;20;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;53;55;1;1;5521;06;05;1152,22699947429
4636241;1;1;1;70;05;8;48;1; ;2;8;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;87;87;28;1;1;2811;06;05;1252,39389838789
4636247;1;3;1;70;05;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;39; ; ;1;1; ;06;05;1038,63744099824
4636248;1;2;1;70;05;8;48;1; ;2;8;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;30;30;64;1;1;6421;06;05;1163,77621899198
4636252;1;3;1;70;05;5;48;1; ;2;58;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;38;64;1;1;6421;06;05;1191,23906647983
4636266;1;1;1;70;05;8;48;1; ;2;12;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781000;2; ;39;59;85;1;1;8511;06;05;1506,82187265052
4636267;1;1;1;70;05;52;48;1; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;87;87;28;1;2;2811;06;05;1112,35822183906
4636267;1;4;1;70;05;8;48;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;03;03;52;1;1;5241;06;05;1112,35822183906
