DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011;AREA
4634584;2;2;2;70;1;12;48;1; ;2;12;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781300;2; ;58;58;70;1;1;06;7020;05;1578,18393909895;05
4634589;1;5;1;70;1;12;48;1; ;2;24;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;52;1;1;06;5233;05;1089,96835465666;05
4634597;1;1;1;70;1;20;48;1; ;2;27;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;58;97;75;1;2;06;7512;05;1182,26789886433;05
4634599;1;1;1;70;1;12;48;4; ;2;12;4; ;1;2;6; ; ; ; ; ; ; ; ; ; ;1;1;150000;800000;2; ;93;93;50;1;1;06;5020;05;1186,10085224936;05
4634607;1;3;1;70;1;32;48;1; ;2;32;1; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;33;44;80;1;2;06;8060;05;1114,93627374126;05
4634608;1;3;1;70;1;8;48;1; ;2;8;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781300;2; ;34;34;74;1;1;06;7499;05;1080,99718704117;05
4634608;1;5;1;70;1;20;48;2; ;2;20;1; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781300;2; ;59;54;85;1;2;06;8532;05;1080,99718704117;05
4634612;1;3;1;70;1;32;48;1; ;2;32;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781000;2; ;39;97;15;1;2;06;1551;05;1084,89537435122;05
4634618;1;2;1;70;1;20;48;1; ;2;20;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;39;53;55;1;2;06;5529;05;1172,74738660748;05
4634619;1;2;1;70;1;12;24;1; ;2;40;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;55;54;95;1;1;06;9500;05;1506,82187265052;05
4634622;1;3;1;70;1;40;48;1; ;2;40;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;90;79;18;1;2;06;1810;05;1514,53813878319;05
4634629;1;1;1;70;1;12;48;1; ;2;52;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;95;95;45;1;1;06;4521;05;1107,22000760859;05
4634629;1;2;1;70;1;4;48;1; ;2;4;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;781242;2; ;79;79;18;1;1;06;1810;05;1107,22000760859;05
4634629;1;3;1;70;1;4;48;1; ;2;8;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;95;95;45;1;1;06;4521;05;1107,22000760859;05
4634633;1;3;1;70;1;24;48;1; ;2;24;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;87;87;29;1;2;06;2919;05;1101,58280809938;05
4634635;1;1;1;70;1;4;48;1; ;2;4;1; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;1;230000;781242;2; ;45;40;52;1;1;06;5239;05;1506,82187265052;05
4634635;1;4;1;70;1;12;48;1; ;2;12;1; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;19;1;1;06;1939;05;1506,82187265052;05
4634649;1;1;1;70;1;6;40;1; ;2;6;1; ;6;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;1100000;2; ;33;33;29;1;1;06;2924;05;1150,97209799146;05
4634704;1;3;1;70;1;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;58; ; ;1;1;06; ;13;414,716940235708;13
4634722;1;1;1;70;1;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1800000; ; ;02; ; ;1;2;06; ;15;94,6100481848298;15
4634724;1;2;1;70;1;24;48;1; ;2;24;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;32;53;55;1;2;06;5522;15;151,488675586256;15
4634729;1;4;1;70;1;4;48;1; ;2;20;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;45;45;52;1;1;06;5221;15;134,376977398888;15
4634732;1;2;1;70;1;8;48;1; ;2;24;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;33;44;64;1;1;06;6421;15;154,277533330655;15
4634733;1;2;1;70;1;2;40;1; ;2;2;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1100000;1500000;2; ;08;08;85;1;1;06;8512;15;121,242880611506;15
4634750;1;2;1;70;1;2;24;3; ;2;2;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;781242;2; ;54;45;52;1;1;06;5219;15;102,155483743284;15
4634769;1;1;1;70;1;8;48;4; ;2;8;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;98;55;55;1;1;06;5511;15;121,582618574279;15
4634771;1;2;1;70;1;3;40;1; ;2;120;1; ;4;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;11;39;52;1;1;06;5221;15;92,8493278494561;15
4634784;1;1;1;70;1;8;40;1; ;2;8;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;6000000;2; ;05;05;75;1;1;06;7512;15;144,501158815805;15
4634791;1;2;1;70;1;1;6;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;45; ; ;1;1;06; ;17;230,272759187129;17
4634793;1;2;1;70;1;36;48;1; ;2;36;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;52;1;2;06;5219;17;180,552228564344;17
4634793;1;3;1;70;1;12;48;1; ;2;12;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;38;93;45;1;1;06;4552;17;180,552228564344;17
4634826;1;4;1;70;1;14;48;1; ;2;14;1; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;38;45;15;1;2;06;1551;17;150,661675644182;17
4634837;1;2;1;70;1;4;48;1; ;2;6;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;45;61;01;1;1;06;0116;17;188,222670597937;17
4634849;1;2;1;70;1;52;48;1; ;2;52;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;98;98;60;1;2;06;6021;17;186,807137352255;17
4634859;1;2;1;70;1;4;48;1; ;2;4;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;1;781242;781242;2; ;59;59;85;1;1;06;8513;17;140,424257900011;17
4634865;1;3;1;70;1;24;48;1; ;2;24;1; ;4;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;1500000;1;1;02;02;74;1;2;06;7414;17;218,649903582919;17
4634869;1;5;1;70;1;24;48;3; ;2;24;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;54;54;95;1;2;06;9500;17;193,652307541011;17
4634878;1;1;1;70;1;36;48;1; ;2;37;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;781242;1;2;45;44;75;1;2;06;7530;17;116,463234397003;17
4634886;1;3;1;70;1;24;48;1; ;2;24;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;781242;1;2;45;55;74;1;2;06;7493;17;207,067346470105;17
4634887;1;3;1;70;1;8;48;1; ;2;500;1; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;55;54;95;1;1;06;9500;17;363,98277461986;17
4634891;1;2;1;70;1;48;48;1; ;2;48;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;13;13;80;1;2;06;8041;17;122,392763814157;17
4634891;1;4;1;70;1;4;48;1; ;2;4;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;55;41;55;1;1;06;5529;17;122,392763814157;17
4634899;1;3;1;70;1;24;48;1; ;2;12;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;34;39;85;1;2;06;8512;17;198,460088342109;17
4634900;1;4;1;70;1;1;48;1; ;2;2;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;2000000;1000000;2; ;84;39;90;1;1;06;9000;17;223,964269063192;17
4634907;1;1;1;70;1;30;48;1; ;2;35;3; ;2;2;2; ; ; ;1; ; ; ; ; ; ; ;2; ;900000;1;4;98;98;95;1;2;06;9500;17;181,563165749022;17
4634941;1;1;1;70;1;2;40;1; ;2;3;1; ;3;2;1; ; ; ;1; ; ; ; ; ; ; ;2; ;781000;2; ;45;45;52;1;1;06;5211;19;116,638453513337;19
4634956;1;2;1;70;1;104;48;1; ;2;52;3; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;59;59;95;1;2;06;9500;19;127,361421475759;19
4634962;1;1;1;70;1;3;48;8; ;2;3;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781000;2; ;62;62;01;1;1;06;0111;19;138,141745796229;19
4634963;1;1;1;70;1;4;48;4; ;2;4;8; ;4;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781000;2; ;95;62;01;1;1;06;0111;19;85,1072017486704;19
4634974;1;1;1;70;1;3;49;4; ;2;3;5; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;750000;700000;2; ;95;95;45;1;1;06;4521;23;156,281218777316;23
4634979;1;3;1;70;1;4;48;1; ;2;21;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;59;59;93;1;1;06;9303;23;205,514981226294;23
4634989;1;6;1;70;1;4;48;1; ;2;5;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;100000;500000;2; ;95;95;45;1;1;06;4521;23;124,096084797456;23
4634992;1;3;1;70;1;3;48;1; ;2;5;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;59;59;85;1;1;06;8511;23;100,799650660106;23
4634993;1;4;1;70;1;11;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;600000; ; ;45; ; ;1;1;06; ;23;207,966335709112;23
4634999;1;5;1;70;1;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;900000; ; ;59; ; ;1;1;06; ;23;132,739236965634;23
4635009;1;3;1;70;1;50;48;1; ;2;48;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;39;39;80;1;2;06;8060;27;102,123561216985;27
4635010;1;2;1;70;1;23;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;13; ; ;1;2;06; ;27;72,4318080887241;27
4635011;1;3;1;70;1;24;48;1; ;2;24;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;02;13;80;1;2;06;8021;27;34,2340299424727;27
4635012;1;1;1;70;1;20;50;1; ;2;12;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;55;54;95;1;2;06;9500;27;50,4044903390997;27
4635012;1;2;1;70;1;4;48;1; ;2;70;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;45;54;95;1;1;06;9500;27;50,4044903390997;27
4635016;1;1;1;70;1;40;20;4; ;2;50;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;55;54;95;1;2;06;9500;41;135,898864931527;41
4635017;1;2;1;70;1;100;48;1; ;2;100;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;52;1;2;06;5233;41;164,694730820254;41
4635021;1;1;1;70;1;3;48;1; ;2;3;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1200000;781000;2; ;98;45;52;1;1;06;5239;41;156,131647988628;41
4635022;1;3;1;70;1;24;48;1; ;2;24;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;13;80;1;2;06;8060;41;143,346280335454;41
4635024;1;4;1;70;1;24;50;1; ;2;24;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;19;39;64;1;2;06;6412;41;175,17288747364;41
4635024;1;6;1;70;1;105;48;1; ;2;130;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;55;45;52;1;2;06;5239;41;175,17288747364;41
4635031;1;2;1;70;1;4;48;1; ;2;32;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781800;2; ;33;44;65;1;1;06;6512;41;157,24131591915;41
4635040;1;1;1;70;1;32;48;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781000;2; ;02;18;75;1;2;06;7523;41;177,217327289615;41
4635041;1;1;1;70;1;3;40;1; ;2;3;1; ;2;2;1; ; ; ; ;1; ; ; ; ; ; ;1;800000;800000;2; ;45;45;52;1;1;06;5229;41;161,861012663317;41
4635043;1;1;1;70;1;259;48;1; ;2;259;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;15;15;92;1;2;06;9220;44;128,326929484303;44
4635046;1;1;1;70;1;24;48;2; ;2;24;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;13;13;80;1;2;06;8041;44;103,841833805764;44
4635057;1;2;1;70;1;4;40;1; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;52;1;1;06;5231;44;86,0472690810351;44
4635064;1;3;1;70;1;8;40;1; ;2;52;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;52;1;1;06;5211;44;175,1543062414;44
4635068;1;2;1;70;1;104;48;1; ;2;104;1; ;5;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;830000;2; ;13;45;52;1;2;06;5233;44;90,7343219133226;44
4635069;1;2;1;70;1;24;42;1; ;2;21;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;39;45;52;1;2;06;5233;44;121,174085035568;44
4635103;1;3;1;70;1;52;48;4; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;98;98;64;1;2;06;6421;50;165,916393004536;50
4635104;1;2;1;70;1;32;48;4; ;2;32;1; ;8;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;800000;2; ;98;98;60;1;2;06;6021;50;193,027164512619;50
4635107;1;2;1;70;1;24;48;1; ;2;8;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;450000;900000;2; ;32;53;55;1;2;06;5521;50;340,558634508415;50
4635114;1;2;1;70;1;4;48;1; ;2;24;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;12;45;52;1;1;06;5233;50;261,843596142608;50
4635119;1;2;1;70;1;4;48;1; ;2;300;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2500000;2; ;08;08;74;1;1;06;7411;50;304,861210032747;50
4635121;1;2;1;70;1;56;48;1; ;2;56;1; ;3;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;800000;2; ;45;45;52;1;2;06;5235;50;197,401095383266;50
4635139;1;2;1;70;1;2;48;1; ;2;2;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;1;782000;950000;2; ;99;99;50;1;1;06;5020;50;161,755754959676;50
4635140;1;2;1;70;1;2;48;1; ;2;8;1; ;9;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;1500000;2; ;02;02;45;1;1;06;4530;50;260,405068455019;50
4635141;1;1;1;70;1;12;48;1; ;2;18;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;58;58;70;1;1;06;7020;50;244,020925930813;50
4635151;1;2;1;70;1;24;48;1; ;2;24;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;39;39;64;1;2;06;6425;50;243,076675284278;50
4635162;1;3;1;70;1;5;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;750000;950000;2; ;45;45;51;1;1;06;5125;50;234,724157674286;50
4635167;1;1;1;70;1;104;48;8; ;2;3;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;98;800000;2; ;62;62;01;1;2;06;0118;50;291,582136703173;50
4635168;1;1;1;70;1;26;30;1; ;2;26;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;39;95;45;1;2;06;4521;50;264,841938738509;50
4635177;1;1;1;70;1;24;48;1; ;2;32;1; ;5;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2500000;2; ;13;13;80;1;2;06;8011;50;294,111340394163;50
4635189;1;1;1;70;1;8;35;2; ;2;8;2; ;9;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;3000000;2; ;13;13;80;1;1;06;8043;50;260,405068455019;50
4635190;1;1;1;70;1;25;40;1; ;2;25;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;13;13;80;1;2;06;8050;50;229,694950711249;50
4635191;1;1;1;70;1;9;40;1; ;2;12;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;98;98;60;1;1;06;6042;50;246,012078467336;50
4635195;1;2;1;70;1;56;48;1; ;2;56;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;787000;2; ;53;53;55;1;2;06;5521;50;251,434103089053;50
4635196;1;1;1;70;1;52;48;4; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;98;98;60;1;2;06;6042;50;299,5321731548;50
4635198;1;7;1;70;1;12;48;1; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;45;45;52;1;1;06;5231;50;162,100206899981;50
4635199;1;1;1;70;1;26;48;4; ;2;8;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;83;83;28;1;2;06;2811;50;261,843596142608;50
4635199;1;2;1;70;1;26;40;3; ;2;104;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;54;56;93;1;2;06;9301;50;261,843596142608;50
4635219;1;2;1;70;1;20;48;1; ;2;52;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2500000;2; ;19;45;01;1;2;06;0123;50;226,198255719017;50
4635233;1;2;1;70;1;4;48;1; ;2;6;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;39;39;64;1;1;06;6421;50;241,638147596689;50
4635235;1;2;1;70;1;12;48;1; ;2;12;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;39;97;15;1;1;06;1511;50;221,82432484837;50
4635245;1;1;1;70;1;8;48;1; ;2;12;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;05;39;74;1;1;06;7414;52;212,062978723258;52
4635248;1;2;1;70;1;4;20;1; ;2;156;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;33;61;01;1;1;06;0111;52;252,175371333327;52
4635253;1;6;1;70;1;4;28;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;400000; ; ;45; ; ;1;1;06; ;52;271,4724339763;52
4635257;1;1;1;70;1;8;48;1; ;2;8;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;300000;781242;2; ;83;83;28;1;1;06;2811;52;286,366708042602;52
4635278;1;2;1;70;1;24;48;4; ;2;24;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;41;41;52;1;2;06;5233;54;445,794697433564;54
4635283;1;3;1;70;1;20;48;1; ;2;30;3; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;21;98;95;1;2;06;9500;54;425,91885269674;54
4635290;1;2;1;70;1;4;48;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;33; ; ;1;1;06; ;54;438,873576799234;54
4635293;1;2;1;70;1;4;50;4; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;79;79;18;1;1;06;1810;54;624,931328409543;54
4635299;1;1;1;70;1;48;30;4; ;2;50;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;79;57;93;1;2;06;9302;54;454,99550545706;54
4635299;1;2;1;70;1;3;50;1; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;781242;2; ;55;45;92;1;1;06;9242;54;454,99550545706;54
4635303;1;1;1;70;1;35;48;3; ;2;300;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;54;41;51;1;2;06;5125;54;358,676857176996;54
4635313;1;3;1;70;1;2;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;300000; ; ;45; ; ;1;1;06; ;63;100,403088139196;63
4635323;1;1;1;70;1;6;40;1; ;2;72;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781000;2; ;33;33;36;1;1;06;3611;63;205,28663026592;63
4635325;1;5;1;70;1;20;20;1; ;2;23;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;95;95;45;1;2;06;4521;63;101,856950230816;63
4635328;1;1;1;70;1;32;48;1; ;2;32;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;850000;2; ;41;45;52;1;2;06;5211;63;225,435948258237;63
4635332;1;2;1;70;1;20;48;1; ;2;6;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781000;2; ;55;45;15;1;2;06;1551;63;147,026182177474;63
4635333;1;1;1;70;1;4;48;1; ;2;6;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781000;2; ;45;45;15;1;1;06;1591;63;138,092883329233;63
4635336;1;3;1;70;1;24;48;4; ;2;2;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781240;2; ;13;41;52;1;2;06;5231;63;125,993934908025;63
4635354;1;2;1;70;1;2;48;3; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;54;79;52;1;1;06;5271;63;184,449938871237;63
4635359;1;2;1;70;1;156;48;1; ;2;208;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781240;2; ;44;45;51;1;2;06;5125;63;192,663267734742;63
4635360;1;2;1;70;1;3;48;4; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;782000;2; ;57;57;93;1;1;06;9302;63;140,167074255964;63
4635364;1;2;1;70;1;4;50;2; ;2;20;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;13;18;92;1;1;06;9241;63;146,040173696465;63
4635364;1;4;1;70;1;3;50;4; ;2;40;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;18;18;92;1;1;06;9241;63;146,040173696465;63
4635366;1;2;1;70;1;8;48;4; ;2;200;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;59;59;85;1;1;06;8511;63;328,603139013463;63
4635368;1;3;1;70;1;1;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781000; ; ;97; ; ;1;1;06; ;63;92,4557977719644;63
4635372;1;1;1;70;1;52;48;4; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781240;2; ;55;41;52;1;2;06;5221;63;82,1507847533656;63
4635372;1;2;1;70;1;2;48;4; ;2;2;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;1;830000;781240;2; ;98;98;60;1;1;06;6041;63;82,1507847533656;63
4635372;1;3;1;70;1;52;48;4; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781240;2; ;55;53;55;1;2;06;5521;63;82,1507847533656;63
4635376;1;1;1;70;1;20;48;1; ;2;20;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781000;2; ;53;54;55;1;2;06;5511;63;135,756091960481;63
4635376;1;2;1;70;1;5;48;1; ;2;5;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;800000;2; ;98;98;15;1;1;06;1589;63;135,756091960481;63
4635376;1;3;1;70;1;4;24;1; ;2;19;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;780000;2; ;33;53;55;1;1;06;5521;63;135,756091960481;63
4635378;1;2;1;70;1;2;40;4; ;2;2;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;1;200000;200000;2; ;55;55;74;1;1;06;7493;63;128,065636408314;63
4635380;1;3;1;70;1;15;24;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;700000; ; ;45; ; ;1;2;06; ;63;140,432164124427;63
4635381;1;1;1;70;1;12;45;1; ;2;12;4; ;1;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;850000;3; ;58;58;74;1;1;06;7492;63;88,0365604230835;63
4635391;1;2;1;70;1;24;40;1; ;2;24;2; ;9;2;1; ; ; ;1; ; ; ; ; ; ; ;2; ;3300000;1;1;13;03;75;1;2;06;7512;63;200,610558101974;63
4635392;1;2;1;70;1;60;48;1; ;2;60;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;782000;2; ;55;38;66;1;2;06;6602;63;190,480231977179;63
4635393;1;1;1;70;1;2;40;4; ;2;2;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;70000;781240;2; ;54;54;85;1;1;06;8532;63;127,808801593249;63
4635395;1;1;1;70;1;250;48;1; ;2;250;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;782000;2; ;55;55;75;1;2;06;7512;63;147,026182177474;63
4635398;1;2;1;70;1;2;48;1; ;2;2;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;30000;781000;2; ;55;55;74;1;1;06;7493;63;109,804240598048;63
4635401;1;1;1;70;1;6;25;4; ;2;350;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781000;2; ;55;53;55;1;1;06;5521;63;223,025152764848;63
4635402;1;2;1;70;1;52;24;4; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781000;2; ;39;53;55;1;2;06;5521;63;119,861511226017;63
4635405;1;1;1;70;1;52;48;1; ;2;52;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;85;85;40;1;2;06;4010;63;192,663267734742;63
4635431;1;4;1;70;1;2;48;1; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;850000;781240;2; ;79;79;52;1;1;06;5272;63;153,719884768792;63
4635435;1;1;1;70;1;1;48;1; ;2;1;4; ;1;2;6; ; ; ; ; ; ; ; ; ; ;1;1;800000;1000000;2; ;58;98;60;1;1;06;6041;63;192,663267734742;63
